fileName,fileDurationInSec,fileSamplerate,audioChannels,bytesPerSample,compression,numberOfFrames,numberOfSpeechFramesWebRTC,percentageOfSpeechFramesWebRTC,speechDurationInSecWebRTC,speechPercentageP56,speechDurationP56,LoudnessITU-R1770-4,ActiveSpeechLevelP56,BandwiseBandwidthEstimation,ShortAmplitudeReversalCounts,deviceAndMicrophone
B03_7ad9_Gm_R04_S04_tr.wav,18.77,48000,1,2,not compressed,625,489,0.782,14.67,0.809,15.18,-26.191,-25.924,WB,0,Laptop with a headset or external mic
B04_a775_Gf_R11_S05_tr.wav,10.585,48000,1,2,not compressed,352,293,0.832,8.79,0.882,9.332,-22.98,-22.975,FB,0,"Laptop, built-in mic"
B03_f4d5_Gm_R05_S01_tr.wav,13.599,48000,1,2,not compressed,453,365,0.806,10.95,0.85,11.56,-19.723,-20.001,WB,0,"Smartphone, built-in mic"
B03_bd13_Gf_R02_S01_tr.wav,16.745,48000,1,2,not compressed,558,454,0.814,13.62,0.874,14.627,-24.962,-24.861,FB,0,Smartphone with a headset or external mic
B03_314f_Gf_R06_S02_tr.wav,16.052,48000,1,2,not compressed,535,401,0.75,12.03,0.767,12.306,-22.18,-21.971,FB,0,"Laptop, built-in mic"
B03_49cf_Gf_R03_S05_tr.wav,10.079,48000,1,2,not compressed,335,272,0.812,8.16,0.864,8.706,-22.964,-24.605,FB,0,Laptop with a headset or external mic
B03_c1a3_Gm_R02_S05_tr.wav,11.901,48000,1,2,not compressed,396,332,0.838,9.96,0.829,9.869,-22.619,-21.453,NB,0,"Laptop, built-in mic"
B03_36a4_Gf_R01_S02_tr.wav,20.963,48000,1,2,not compressed,698,550,0.788,16.5,0.811,16.998,-15.079,-14.614,WB,0,"Smartphone, built-in mic"
B03_5dce_Gm_R03_S02_tr.wav,12.255,48000,2,2,not compressed,408,332,0.814,9.96,0.851,10.428,-22.32,-25.092,FB,0,Laptop with a headset or external mic
B03_7e6c_Gm_R10_S04_tr.wav,17.867,48000,1,2,not compressed,595,359,0.603,10.77,0.38,6.794,-19.947,-20.46,WB,0,"Smartphone, built-in mic"
B03_2239_Gm_R09_S03_tr.wav,18.119,44100,1,2,not compressed,603,430,0.713,12.9,0.74,13.411,-22.493,-22.333,SWB,0,"Smartphone, built-in mic"
B03_702e_Gf_R05_S01_tr.wav,18.617,48000,1,2,not compressed,620,524,0.845,15.72,0.889,16.553,-22.078,-21.827,SWB,0,Laptop with a headset or external mic
B04_0f1b_Gf_R03_S04_tr.wav,15.31,48000,1,2,not compressed,510,406,0.796,12.18,0.863,13.22,-19.29,-18.79,WB,0,"Smartphone, built-in mic"
B03_ab80_Gf_R10_S04_tr.wav,18.385,48000,2,2,not compressed,612,462,0.755,13.86,0.768,14.12,-22.517,-24.717,WB,0,"Laptop, built-in mic"
B00_4f99_Gf_R10_S04_tr.wav,16.491,48000,2,2,not compressed,549,446,0.812,13.38,0.88,14.512,-28.621,-31.387,WB,0,"Smartphone, built-in mic"
B03_a2b8_Gm_R03_S04_tr.wav,18.348,48000,1,2,not compressed,611,521,0.853,15.63,0.839,15.385,-25.343,-25.022,WB,0,Laptop with a headset or external mic
B04_b6f5_Gf_R04_S05_tr.wav,10.804,48000,1,2,not compressed,360,265,0.736,7.95,0.755,8.156,-25.447,-25.359,FB,0,"Laptop, built-in mic"
B03_7bf5_Gm_R10_S04_tr.wav,16.137,48000,1,2,not compressed,537,380,0.708,11.4,0.736,11.88,-25.673,-24.908,FB,0,"Laptop, built-in mic"
B03_4afc_Gf_R10_S04_tr.wav,17.25,48000,1,2,not compressed,574,465,0.81,13.95,0.866,14.944,-23.059,-23.689,FB,0,"Laptop, built-in mic"
B03_392f_Gm_R03_S04_tr.wav,13.605,48000,2,2,not compressed,453,377,0.832,11.31,0.887,12.069,-26.047,-29.829,WB,0,Laptop with a headset or external mic
B04_2dea_Gm_R09_S03_tr.wav,20.006,48000,1,2,not compressed,666,556,0.835,16.68,0.85,17.015,-15.853,-15.516,SWB,0,"Smartphone, built-in mic"
B03_d4ba_Gf_R02_S01_tr.wav,17.314,44100,1,2,not compressed,577,397,0.688,11.91,0.866,14.998,-28.83,-29.163,SWB,0,"Smartphone, built-in mic"
B03_090f_Gf_R06_S02_tr.wav,16.306,48000,1,2,not compressed,543,409,0.753,12.27,0.83,13.541,-24.247,-24.113,FB,0,Smartphone with a headset or external mic
B04_bd7e_Gf_R08_S02_tr.wav,14.601,48000,1,2,not compressed,486,400,0.823,12.0,0.859,12.547,-24.475,-23.973,SWB,0,Smartphone with a headset or external mic
B03_1b31_Gf_R07_S05_tr.wav,10.585,48000,1,2,not compressed,352,292,0.83,8.76,0.881,9.326,-21.929,-23.763,FB,0,Laptop with a headset or external mic
B03_c7df_Gf_R07_S02_tr.wav,23.514,48000,1,2,not compressed,783,596,0.761,17.88,0.847,19.92,-23.827,-23.172,NB,0,"Laptop, built-in mic"
B03_0a1b_Gm_R02_S03_tr.wav,17.393,48000,1,2,not compressed,579,504,0.87,15.12,0.871,15.157,-19.53,-20.996,FB,0,"Laptop, built-in mic"
B03_9179_Gm_R10_S04_tr.wav,16.817,44100,1,2,not compressed,560,430,0.768,12.9,0.799,13.441,-21.384,-21.068,SWB,0,"Smartphone, built-in mic"
B00_7e4d_Gm_R04_S05_tr.wav,8.256,48000,2,2,not compressed,275,210,0.764,6.3,0.725,5.984,-12.205,-14.836,FB,0,"Smartphone, built-in mic"
B04_086a_Gf_R02_S01_tr.wav,16.593,48000,1,2,not compressed,553,476,0.861,14.28,0.896,14.869,-21.489,-21.249,SWB,0,"Smartphone, built-in mic"
B04_430d_Gf_R05_S01_tr.wav,16.66,48000,1,2,not compressed,555,489,0.881,14.67,0.883,14.715,-18.902,-18.353,SWB,0,"Smartphone, built-in mic"
B04_0f20_Gf_R09_S03_tr.wav,15.971,48000,1,2,not compressed,532,127,0.239,3.81,0.928,14.822,-52.145,-51.909,FB,0,"Smartphone, built-in mic"
B03_f4b8_Gm_R03_S05_tr.wav,10.112,48000,1,2,not compressed,337,250,0.742,7.5,0.792,8.01,-24.83,-24.452,FB,0,Laptop with a headset or external mic
B00_8c08_Gm_R10_S04_tr.wav,19.753,48000,2,2,not compressed,658,473,0.719,14.19,0.752,14.861,-22.552,-25.333,SWB,0,"Smartphone, built-in mic"
B00_1c00_Gf_R05_S01_tr.wav,17.284,48000,2,2,not compressed,576,454,0.788,13.62,0.838,14.482,-19.979,-22.84,SWB,0,"Smartphone, built-in mic"
B03_2be8_Gf_R04_S05_tr.wav,12.475,48000,1,2,not compressed,415,294,0.708,8.82,0.741,9.242,-23.974,-23.985,WB,0,Laptop with a headset or external mic
B00_32b3_Gf_R07_S01_tr.wav,19.061,48000,2,2,not compressed,635,494,0.778,14.82,0.862,16.439,-22.353,-25.39,WB,0,"Smartphone, built-in mic"
B00_d84a_Gf_R06_S03_tr.wav,20.191,48000,2,2,not compressed,673,486,0.722,14.58,0.819,16.544,-30.886,-33.488,WB,0,"Smartphone, built-in mic"
B04_fc78_Gm_R09_S03_tr.wav,12.61,48000,1,2,not compressed,420,350,0.833,10.5,0.879,11.09,-15.506,-14.859,NB,0,"Smartphone, built-in mic"
B03_639e_Gm_R03_S02_tr.wav,15.378,48000,2,2,not compressed,512,403,0.787,12.09,0.84,12.914,-21.875,-25.557,FB,0,Laptop with a headset or external mic
B03_f2a5_Gm_R02_S01_tr.wav,19.563,48000,1,2,not compressed,652,496,0.761,14.88,0.794,15.524,-23.046,-22.348,SWB,0,Laptop with a headset or external mic
B03_8f61_Gf_R04_S01_tr.wav,13.403,48000,1,2,not compressed,446,383,0.859,11.49,0.909,12.179,-24.192,-23.635,SWB,0,"Laptop, built-in mic"
B03_3bb0_Gf_R03_S01_tr.wav,15.563,48000,2,2,not compressed,518,439,0.847,13.17,0.901,14.017,-19.353,-22.089,FB,0,Laptop with a headset or external mic
B03_e89d_Gm_R07_S02_tr.wav,12.525,48000,2,2,not compressed,417,355,0.851,10.65,0.828,10.368,-16.4,-18.944,WB,0,Laptop with a headset or external mic
B03_42e1_Gm_R07_S01_tr.wav,13.758,48000,2,2,not compressed,458,415,0.906,12.45,0.905,12.444,-21.262,-24.509,FB,0,Laptop with a headset or external mic
B04_18ee_Gf_R08_S02_tr.wav,13.268,48000,1,2,not compressed,442,403,0.912,12.09,0.907,12.03,-24.877,-24.8,SWB,0,Smartphone with a headset or external mic
B03_5a7c_Gm_R06_S04_tr.wav,15.699,48000,1,2,not compressed,523,457,0.874,13.71,0.928,14.572,-23.214,-24.174,FB,0,"Laptop, built-in mic"
B03_6f91_Gm_R07_S03_tr.wav,16.643,48000,1,2,not compressed,554,415,0.749,12.45,0.787,13.094,-24.436,-24.067,FB,0,"Laptop, built-in mic"
B03_25bf_Gm_R01_S01_tr.wav,13.875,48000,2,2,not compressed,462,386,0.835,11.58,0.857,11.892,-24.273,-27.772,WB,0,Laptop with a headset or external mic
B03_aff6_Gf_R06_S05_tr.wav,9.93,48000,1,2,not compressed,330,257,0.779,7.71,0.83,8.238,-22.233,-21.861,NB,0,"Laptop, built-in mic"
B03_9f49_Gm_R03_S05_tr.wav,9.842,48000,1,2,not compressed,328,242,0.738,7.26,0.721,7.094,-19.832,-20.648,FB,0,"Laptop, built-in mic"
B04_c626_Gm_R09_S03_tr.wav,19.883,48000,1,2,not compressed,662,513,0.775,15.39,0.812,16.141,-19.487,-18.717,SWB,0,"Smartphone, built-in mic"
B04_95bc_Gf_R01_S01_tr.wav,14.365,48000,1,2,not compressed,478,407,0.851,12.21,0.881,12.658,-23.809,-23.384,SWB,0,"Smartphone, built-in mic"
B03_a0af_Gm_R07_S03_tr.wav,13.879,48000,1,2,not compressed,462,385,0.833,11.55,0.818,11.356,-22.492,-22.049,SWB,0,"Laptop, built-in mic"
B03_5990_Gf_R06_S02_tr.wav,13.644,48000,1,2,not compressed,454,345,0.76,10.35,0.821,11.208,-24.766,-25.08,FB,0,"Laptop, built-in mic"
B03_5b82_Gf_R01_S04_tr.wav,16.66,48000,1,2,not compressed,555,463,0.834,13.89,0.858,14.288,-21.615,-22.715,FB,0,"Laptop, built-in mic"
B03_5e85_Gm_R11_S05_tr.wav,8.931,48000,1,2,not compressed,297,226,0.761,6.78,0.759,6.78,-18.47,-18.972,FB,0,"Laptop, built-in mic"
B04_d75e_Gf_R11_S05_tr.wav,10.771,48000,1,2,not compressed,359,231,0.643,6.93,0.673,7.25,-25.611,-26.015,FB,0,"Laptop, built-in mic"
B03_1418_Gm_R08_S02_tr.wav,13.825,48000,2,2,not compressed,460,381,0.828,11.43,0.831,11.494,-20.769,-23.337,WB,0,"Laptop, built-in mic"
B04_6afe_Gf_R08_S02_tr.wav,14.197,48000,1,2,not compressed,473,403,0.852,12.09,0.893,12.675,-25.361,-24.9,WB,0,"Smartphone, built-in mic"
B03_5d92_Gf_R03_S05_tr.wav,9.319,48000,1,2,not compressed,310,272,0.877,8.16,0.732,6.823,-24.376,-25.494,WB,0,Laptop with a headset or external mic
B03_ae07_Gm_R06_S04_tr.wav,12.491,48000,1,2,not compressed,416,361,0.868,10.83,0.891,11.125,-23.742,-23.093,FB,0,Laptop with a headset or external mic
B03_d4be_Gf_R06_S02_tr.wav,14.18,44100,1,2,not compressed,472,315,0.667,9.45,0.798,11.313,-27.48,-28.035,SWB,0,"Smartphone, built-in mic"
B03_f261_Gm_R06_S02_tr.wav,15.515,48000,1,2,not compressed,517,428,0.828,12.84,0.854,13.256,-22.504,-24.261,FB,0,Laptop with a headset or external mic
B04_21f5_Gm_R08_S02_tr.wav,13.116,48000,1,2,not compressed,437,354,0.81,10.62,0.813,10.658,-23.025,-22.463,SWB,0,"Smartphone, built-in mic"
B04_fa36_Gf_R03_S01_tr.wav,19.815,48000,1,2,not compressed,660,573,0.868,17.19,0.939,18.601,-23.247,-22.873,SWB,0,"Smartphone, built-in mic"
B03_8cb7_Gm_R09_S03_tr.wav,14.483,48000,2,2,not compressed,482,404,0.838,12.12,0.774,11.208,-18.886,-21.72,WB,0,"Laptop, built-in mic"
B03_012f_Gm_R06_S05_tr.wav,9.252,48000,1,2,not compressed,308,220,0.714,6.6,0.731,6.761,-18.677,-18.026,WB,0,"Smartphone, built-in mic"
B00_1a77_Gf_R02_S02_tr.wav,13.183,48000,2,2,not compressed,439,348,0.793,10.44,0.849,11.196,-20.4,-22.742,SWB,0,"Smartphone, built-in mic"
B03_45ed_Gm_R08_S02_tr.wav,16.204,48000,1,2,not compressed,540,419,0.776,12.57,0.82,13.289,-25.19,-24.781,FB,0,Laptop with a headset or external mic
B03_23a6_Gm_R06_S02_tr.wav,14.146,48000,2,2,not compressed,471,408,0.866,12.24,0.889,12.581,-14.644,-17.808,FB,1,"Laptop, built-in mic"
B03_5a3a_Gf_R08_S02_tr.wav,20.072,48000,1,2,not compressed,669,545,0.815,16.35,0.877,17.608,-24.039,-23.522,NB,0,"Laptop, built-in mic"
B04_dacd_Gf_R03_S02_tr.wav,11.412,48000,1,2,not compressed,380,334,0.879,10.02,0.887,10.123,-22.731,-22.345,SWB,0,"Smartphone, built-in mic"
B03_f110_Gf_R07_S04_tr.wav,13.74,24000,1,2,not compressed,457,379,0.829,11.37,0.86,11.816,-24.98,-24.794,SWB,0,Laptop with a headset or external mic
B03_beb8_Gf_R07_S03_tr.wav,16.626,48000,1,2,not compressed,554,460,0.83,13.8,0.865,14.376,-23.106,-22.753,FB,0,Smartphone with a headset or external mic
B03_22cf_Gm_R04_S04_tr.wav,20.865,48000,1,2,not compressed,695,484,0.696,14.52,0.703,14.66,-21.253,-21.019,FB,0,Laptop with a headset or external mic
B04_4a8f_Gm_R09_S03_tr.wav,15.394,48000,1,2,not compressed,513,416,0.811,12.48,0.847,13.042,-22.878,-22.128,SWB,0,"Smartphone, built-in mic"
B04_a1f7_Gf_R04_S04_tr.wav,15.293,48000,1,2,not compressed,509,433,0.851,12.99,0.879,13.442,-13.643,-13.54,SWB,0,"Smartphone, built-in mic"
B03_ba27_Gm_R05_S01_tr.wav,20.778,48000,2,2,not compressed,692,550,0.795,16.5,0.859,17.847,-23.59,-25.906,FB,0,"Laptop, built-in mic"
B03_1b0b_Gm_R01_S05_tr.wav,8.678,48000,1,2,not compressed,289,212,0.734,6.36,0.796,6.909,-26.134,-26.414,FB,0,"Laptop, built-in mic"
B03_0d44_Gm_R01_S01_tr.wav,18.28,48000,1,2,not compressed,609,520,0.854,15.6,0.874,15.984,-24.776,-24.373,FB,0,"Laptop, built-in mic"
B03_1216_Gf_R10_S04_tr.wav,12.442,48000,2,2,not compressed,414,256,0.618,7.68,0.827,10.291,-34.719,-37.583,WB,0,"Laptop, built-in mic"
B03_e566_Gf_R09_S03_tr.wav,21.942,48000,1,2,not compressed,731,552,0.755,16.56,0.793,17.398,-21.31,-21.734,WB,0,Laptop with a headset or external mic
B03_4656_Gm_R08_S02_tr.wav,13.471,48000,1,2,not compressed,449,380,0.846,11.4,0.899,12.104,-19.505,-20.109,FB,0,"Laptop, built-in mic"
B04_33ec_Gm_R10_S04_tr.wav,13.943,48000,1,2,not compressed,464,398,0.858,11.94,0.884,12.332,-21.879,-21.576,SWB,0,"Smartphone, built-in mic"
B03_7c9f_Gf_R02_S02_tr.wav,14.399,48000,1,2,not compressed,479,416,0.868,12.48,0.864,12.439,-22.241,-22.707,FB,0,"Laptop, built-in mic"
B03_68c2_Gm_R04_S01_tr.wav,14.314,48000,2,2,not compressed,477,402,0.843,12.06,0.833,11.925,-18.879,-23.052,WB,0,"Laptop, built-in mic"
B04_abd2_Gf_R11_S05_tr.wav,12.951,48000,1,2,not compressed,431,291,0.675,8.73,0.712,9.219,-16.249,-15.89,SWB,0,"Smartphone, built-in mic"
B03_1e56_Gf_R07_S05_tr.wav,8.647,48000,1,2,not compressed,288,214,0.743,6.42,0.818,7.073,-26.473,-25.929,SWB,0,"Smartphone, built-in mic"
B03_86ee_Gm_R07_S03_tr.wav,14.298,48000,2,2,not compressed,476,447,0.939,13.41,0.971,13.877,-22.037,-27.037,WB,0,"Smartphone, built-in mic"
B04_9917_Gf_R03_S05_tr.wav,9.269,48000,1,2,not compressed,308,149,0.484,4.47,0.77,7.134,-42.929,-42.826,FB,0,"Smartphone, built-in mic"
B04_cf50_Gm_R08_S02_tr.wav,16.314,48000,1,2,not compressed,543,485,0.893,14.55,0.862,14.065,-20.721,-19.999,SWB,0,"Smartphone, built-in mic"
B04_e5ad_Gf_R04_S02_tr.wav,19.9,48000,1,2,not compressed,663,556,0.839,16.68,0.841,16.734,-23.505,-23.092,FB,0,"Laptop, built-in mic"
B03_9a01_Gm_R03_S03_tr.wav,14.264,48000,1,2,not compressed,475,402,0.846,12.06,0.875,12.474,-22.942,-22.325,SWB,0,"Smartphone, built-in mic"
B03_93a3_Gf_R02_S03_tr.wav,18.28,48000,1,2,not compressed,609,467,0.767,14.01,0.817,14.931,-22.825,-22.618,FB,0,"Laptop, built-in mic"
B04_ff27_Gm_R10_S04_tr.wav,18.466,48000,1,2,not compressed,615,524,0.852,15.72,0.869,16.052,-11.968,-11.754,SWB,0,"Smartphone, built-in mic"
B03_ded8_Gm_R07_S04_tr.wav,11.111,44100,1,2,not compressed,370,284,0.768,8.52,0.861,9.57,-29.592,-28.944,SWB,0,"Laptop, built-in mic"
B03_01b8_Gm_R07_S03_tr.wav,20.102,48000,1,2,not compressed,670,572,0.854,17.16,0.843,16.949,-23.562,-22.567,FB,0,"Laptop, built-in mic"
B04_d178_Gf_R04_S01_tr.wav,17.892,48000,1,2,not compressed,596,454,0.762,13.62,0.793,14.186,-24.189,-24.463,FB,0,"Laptop, built-in mic"
B04_d866_Gf_R08_S02_tr.wav,14.433,48000,1,2,not compressed,481,438,0.911,13.14,0.9,12.993,-23.822,-23.66,SWB,0,"Smartphone, built-in mic"
B04_4ef1_Gm_R09_S03_tr.wav,13.572,48000,1,2,not compressed,452,393,0.869,11.79,0.894,12.135,-27.609,-27.394,WB,0,Smartphone with a headset or external mic
B03_d57c_Gm_R08_S02_tr.wav,13.065,48000,2,2,not compressed,435,353,0.811,10.59,0.851,11.115,-22.332,-25.933,WB,0,Laptop with a headset or external mic
B03_50db_Gf_R04_S02_tr.wav,14.483,48000,1,2,not compressed,482,423,0.878,12.69,0.889,12.878,-20.368,-20.001,FB,0,"Laptop, built-in mic"
B04_564b_Gf_R03_S05_tr.wav,8.763,48000,1,2,not compressed,292,244,0.836,7.32,0.894,7.835,-26.367,-26.004,SWB,0,Smartphone with a headset or external mic
B03_5a0c_Gf_R06_S03_tr.wav,12.188,48000,1,2,not compressed,406,353,0.869,10.59,0.916,11.164,-25.681,-25.796,WB,0,Laptop with a headset or external mic
B03_cb39_Gm_R05_S01_tr.wav,13.37,48000,1,2,not compressed,445,364,0.818,10.92,0.85,11.364,-24.055,-23.562,SWB,0,"Laptop, built-in mic"
B03_7df0_Gm_R11_S05_tr.wav,9.1,48000,2,2,not compressed,303,250,0.825,7.5,0.836,7.606,-15.082,-18.012,FB,0,"Laptop, built-in mic"
