,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
0,P00,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S01,P00_M_C1_Smartphone_S01.wav,,-22.668975120086387,0.798229400905482,14.506666666666666,-22.82032319655769,FB,44.19977230878008
1,P00,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S02,P00_M_C1_Smartphone_S02.wav,,-21.694836529658467,0.7830231819989574,16.256009070294784,-21.959768746184643,FB,40.47760093524455
2,P00,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S03,P00_M_C1_Smartphone_S03.wav,,-20.327260420482656,0.8023897483451535,17.151995464852607,-20.58195575355266,SWB,39.056915366633525
3,P00,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S04,P00_M_C1_Smartphone_S04.wav,,-20.75971322647684,0.7925587590998983,15.637324263038549,-20.975968558474182,FB,39.30263216947749
4,P00,M,In the lab doors/windows closed,Smartphone (iPhone 11 Pro),S05,P00_M_C1_Smartphone_S05.wav,,-21.088999437239615,0.7544125540181875,9.578662131519277,-21.418951355668614,FB,42.66530656634923
5,P00,M,In the lab TV noise,Smartphone (iPhone 11 Pro),S01,P00_M_C2_Smartphone_S01.wav,,-27.855359421978857,0.8153902920761571,16.184308390022675,-28.102684287175,NB,40.73897463808319
6,P00,M,In the lab TV noise,Smartphone (iPhone 11 Pro),S02,P00_M_C2_Smartphone_S02.wav,,-27.386668776830263,0.6341764298706154,19.458321995464853,-27.910304563589257,NB,44.096534913441005
7,P00,M,In the lab TV noise,Smartphone (iPhone 11 Pro),S03,P00_M_C2_Smartphone_S03.wav,,-27.8155858438768,0.7841935662674661,16.579047619047618,-28.40654776494441,NB,41.611364009924245
8,P00,M,In the lab TV noise,Smartphone (iPhone 11 Pro),S04,P00_M_C2_Smartphone_S04.wav,,-27.73125305539104,0.7354075359928638,15.975328798185942,-28.31080164454603,NB,41.7920516447839
9,P00,M,In the lab TV noise,Smartphone (iPhone 11 Pro),S05,P00_M_C2_Smartphone_S05.wav,,-26.637419921416384,0.7313876296359633,10.611519274376418,-27.228695979436097,NB,45.077015424771474
10,P00,M,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S01,P00_M_C3_Laptop_S01.wav,,-34.171501773508666,0.777741079146451,14.826666666666666,-31.393117579961277,FB,42.44564192723626
11,P00,M,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S02,P00_M_C3_Laptop_S02.wav,,-36.61056035403976,0.7312584300672031,15.210657596371885,-33.82732194568008,FB,42.94774195640024
12,P00,M,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S03,P00_M_C3_Laptop_S03.wav,,-35.08656603615124,0.7681104708400486,16.85333333333333,-32.27403722409758,FB,40.17587463739161
13,P00,M,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S04,P00_M_C3_Laptop_S04.wav,,-34.25378407029701,0.7559494281205288,15.210657596371885,-31.64040646505844,FB,41.77837290607731
14,P00,M,In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),S05,P00_M_C3_Laptop_S05.wav,,-33.045462913053065,0.6882661798083535,9.92,-30.28213397111919,FB,43.97162985552075
15,P00,M,In the lab open door,AirPods,S01,P00_M_C4_AirPods_S01.wav,connected to laptop,-37.44775620714094,0.7390530479727696,13.52532879818594,-34.902066248609906,FB,39.273790341658575
16,P00,M,In the lab open door,AirPods,S02,P00_M_C4_AirPods_S02.wav,connected to laptop,-37.50935786887485,0.6845494103906772,14.293333333333331,-34.879631776497995,FB,40.91201085703645
17,P00,M,In the lab open door,AirPods,S03,P00_M_C4_AirPods_S03.wav,connected to laptop,-36.48250630657469,0.6802346280279791,17.08800453514739,-33.685174051191034,FB,40.853024043009405
