ParticipantID,DeviceStd,BandwidthRank_mean,n
P00,AirPods,3.3333333333333335,15
P00,Laptop,4.0,10
P00,Smartphone,2.9,20
P01,AirPods,1.6,15
P01,Laptop,2.0,15
P01,Smartphone,3.0,15
P02,Headphones,4.0,10
P02,Laptop,2.0,10
P02,Smartphone,3.72,25
P03,AirPods,2.15,20
P03,Laptop,2.0,10
P03,Smartphone,3.2666666666666666,15
P04,Headphones,4.0,30
P04,Laptop,2.0,5
P04,Smartphone,3.5,10
P05,AirPods,3.0,15
P05,Headphones,4.0,5
P05,Laptop,2.0,5
P05,Smartphone,3.75,20
P06,AirPods,2.3333333333333335,15
P06,Laptop,2.0,10
P06,Smartphone,3.7,20
P07,AirPods,2.0,10
P07,Headphones,3.6,10
P07,Laptop,2.0,5
P07,Smartphone,3.25,20
P08,AirPods,1.0,10
P08,Headphones,2.6666666666666665,15
P08,Laptop,2.0,10
P08,Smartphone,3.4,10
P09,AirPods,2.0,10
P09,Headphones,4.0,10
P09,Laptop,2.0,10
P09,Smartphone,4.0,15
P10,AirPods,3.5,10
P10,Headphones,4.0,15
P10,Smartphone,3.85,20
P11,AirPods,1.6333333333333333,30
P11,Laptop,2.0,5
P11,Smartphone,3.1,10
P12,Headphones,4.0,25
P12,Laptop,2.0,10
P12,Smartphone,3.6,10
P13,Laptop,2.0,5
P13,Smartphone,3.0,40
P14,Headphones,3.9,20
P14,Laptop,2.0,10
P14,Smartphone,3.0,15
P15,AirPods,3.0,20
P15,Headphones,4.0,10
P15,Smartphone,3.533333333333333,15
P16,Headphones,4.0,20
P16,Laptop,2.0,5
P16,Smartphone,3.9,20
P17,Headphones,4.0,30
P17,Laptop,2.0,10
P17,Smartphone,3.6,5
P18,AirPods,3.0,10
P18,Headphones,4.0,25
P18,Laptop,2.0,5
P18,Smartphone,3.0,5
P19,AirPods,3.0,5
P19,Laptop,2.0,10
P19,Smartphone,3.966666666666667,30
P20,Headphones,4.0,25
P20,Laptop,2.0,5
P20,Smartphone,4.0,15
