CategoryCol,Category,Dataset,Metric,N,Mean,SD,Median,Q1,Q3,IQR
DeviceGroup,Smartphone,Supervised,ASL,0.0,,,,,,
DeviceGroup,Smartphone,Supervised,Duration,0.0,,,,,,
DeviceGroup,Smartphone,Supervised,SpeechPercentage,0.0,,,,,,
DeviceGroup,Smartphone,Supervised,Loudness,0.0,,,,,,
DeviceGroup,Smartphone,Crowdsourced,ASL,0.0,,,,,,
DeviceGroup,Smartphone,Crowdsourced,Duration,0.0,,,,,,
DeviceGroup,Smartphone,Crowdsourced,SpeechPercentage,0.0,,,,,,
DeviceGroup,Smartphone,Crowdsourced,Loudness,0.0,,,,,,
DeviceGroup,Laptop,Supervised,ASL,0.0,,,,,,
DeviceGroup,Laptop,Supervised,Duration,0.0,,,,,,
DeviceGroup,Laptop,Supervised,SpeechPercentage,0.0,,,,,,
DeviceGroup,Laptop,Supervised,Loudness,0.0,,,,,,
DeviceGroup,Laptop,Crowdsourced,ASL,0.0,,,,,,
DeviceGroup,Laptop,Crowdsourced,Duration,0.0,,,,,,
DeviceGroup,Laptop,Crowdsourced,SpeechPercentage,0.0,,,,,,
DeviceGroup,Laptop,Crowdsourced,Loudness,0.0,,,,,,
DeviceGroup,Headset,Supervised,ASL,0.0,,,,,,
DeviceGroup,Headset,Supervised,Duration,0.0,,,,,,
DeviceGroup,Headset,Supervised,SpeechPercentage,0.0,,,,,,
DeviceGroup,Headset,Supervised,Loudness,0.0,,,,,,
DeviceGroup,Headset,Crowdsourced,ASL,221.0,-25.208696832579182,5.912981484791739,-24.2,-25.557,-22.588,2.9689999999999976
DeviceGroup,Headset,Crowdsourced,Duration,221.0,14.497366515837102,3.5627983966336814,14.415,12.255,16.997,4.741999999999999
DeviceGroup,Headset,Crowdsourced,SpeechPercentage,221.0,83.90497737556561,6.302786009119978,85.0,80.9,88.1,7.199999999999989
DeviceGroup,Headset,Crowdsourced,Loudness,221.0,-24.461366515837106,5.5201290734712725,-23.544,-25.035,-22.293,2.742000000000001
