CategoryCol,Category,Dataset,Metric,N,Mean,SD,Median,Q1,Q3,IQR
MatchedCondition,Home_Silent,Supervised,ASL,0.0,,,,,,
MatchedCondition,Home_Silent,Supervised,Duration,0.0,,,,,,
MatchedCondition,Home_Silent,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,Home_Silent,Supervised,Loudness,0.0,,,,,,
MatchedCondition,Home_Silent,Crowdsourced,ASL,100.0,-23.271929999999998,3.054426872639617,-23.533,-25.173000000000002,-21.5565,3.616500000000002
MatchedCondition,Home_Silent,Crowdsourced,Duration,100.0,14.783389999999997,3.1412966405192253,14.9725,12.812000000000001,16.64725,3.8352499999999985
MatchedCondition,Home_Silent,Crowdsourced,SpeechPercentage,100.0,83.46200000000003,5.907721022252802,84.7,80.475,87.4,6.925000000000011
MatchedCondition,Home_Silent,Crowdsourced,Loudness,100.0,-22.716100000000004,3.1136864522993197,-22.94,-24.81275,-21.159,3.6537500000000023
MatchedCondition,Home_TV,Supervised,ASL,0.0,,,,,,
MatchedCondition,Home_TV,Supervised,Duration,0.0,,,,,,
MatchedCondition,Home_TV,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,Home_TV,Supervised,Loudness,0.0,,,,,,
MatchedCondition,Home_TV,Crowdsourced,ASL,99.0,-24.38080808080808,6.0847484305262105,-23.346,-25.57,-21.2845,4.285499999999999
MatchedCondition,Home_TV,Crowdsourced,Duration,99.0,15.269333333333334,3.477588300497214,15.665,13.259,17.5365,4.2775
MatchedCondition,Home_TV,Crowdsourced,SpeechPercentage,99.0,82.56969696969696,6.073553486061677,83.7,78.7,87.15,8.450000000000003
MatchedCondition,Home_TV,Crowdsourced,Loudness,99.0,-23.664424242424246,5.742158971581726,-23.036,-25.0715,-20.585,4.4864999999999995
MatchedCondition,Home_OpenWindow,Supervised,ASL,0.0,,,,,,
MatchedCondition,Home_OpenWindow,Supervised,Duration,0.0,,,,,,
MatchedCondition,Home_OpenWindow,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,Home_OpenWindow,Supervised,Loudness,0.0,,,,,,
MatchedCondition,Home_OpenWindow,Crowdsourced,ASL,100.0,-24.04946,5.8567488402851815,-23.302999999999997,-24.86275,-21.72025,3.1424999999999983
MatchedCondition,Home_OpenWindow,Crowdsourced,Duration,100.0,14.048450000000003,3.210599095656495,14.238499999999998,12.13725,16.073999999999998,3.936749999999998
MatchedCondition,Home_OpenWindow,Crowdsourced,SpeechPercentage,100.0,84.137,5.310455762365449,84.94999999999999,80.9,88.325,7.424999999999997
MatchedCondition,Home_OpenWindow,Crowdsourced,Loudness,100.0,-23.287269999999992,5.69522225398827,-22.9525,-24.04425,-21.20475,2.839500000000001
MatchedCondition,Home_OtherNoise,Supervised,ASL,0.0,,,,,,
MatchedCondition,Home_OtherNoise,Supervised,Duration,0.0,,,,,,
MatchedCondition,Home_OtherNoise,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,Home_OtherNoise,Supervised,Loudness,0.0,,,,,,
MatchedCondition,Home_OtherNoise,Crowdsourced,ASL,107.0,-23.19629906542056,4.174693097328942,-23.417,-24.7635,-21.133,3.6305000000000014
MatchedCondition,Home_OtherNoise,Crowdsourced,Duration,107.0,14.59632710280374,3.3556159004331287,14.587,12.458,17.042,4.584000000000001
MatchedCondition,Home_OtherNoise,Crowdsourced,SpeechPercentage,107.0,83.3710280373832,6.646449035554652,84.7,79.75,87.55,7.799999999999997
MatchedCondition,Home_OtherNoise,Crowdsourced,Loudness,107.0,-22.467149532710287,3.912845851381614,-22.8,-24.3495,-20.954,3.3954999999999984
MatchedCondition,Office,Supervised,ASL,0.0,,,,,,
MatchedCondition,Office,Supervised,Duration,0.0,,,,,,
MatchedCondition,Office,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,Office,Supervised,Loudness,0.0,,,,,,
MatchedCondition,Office,Crowdsourced,ASL,97.0,-23.31818556701031,3.9133513645858824,-23.457,-25.234,-21.661,3.5730000000000004
