ConditionNr,Metric,Supervised_mean,Supervised_sd,Crowdsourced_mean,Crowdsourced_sd,DiffMean(CS-SUP)
1,ASL,-25.0832,6.5068,-23.2719,3.0544,1.8112
2,ASL,-27.9519,10.9320,-24.3808,6.0847,3.5711
3,ASL,-24.1328,7.5257,-24.0495,5.8567,0.0833
4,ASL,-28.3334,8.8848,-23.1963,4.1747,5.1371
5,ASL,-29.0493,8.6804,-23.3182,3.9134,5.7311
6,ASL,-26.4132,9.8988,-24.6219,5.5536,1.7913
7,ASL,-26.8151,7.2470,-24.8935,4.1543,1.9216
8,ASL,-25.8342,8.4334,-22.9948,5.0722,2.8393
9,ASL,-29.7575,8.9714,-21.9348,4.0642,7.8227
1,Speech activity factor (%),79.0478,6.7131,83.4620,5.9077,4.4142
2,Speech activity factor (%),80.9544,10.0220,82.5697,6.0736,1.6153
3,Speech activity factor (%),80.0916,9.6568,84.1370,5.3105,4.0454
4,Speech activity factor (%),79.2117,9.5737,83.3710,6.6464,4.1593
5,Speech activity factor (%),81.8389,12.5301,86.8557,3.4742,5.0168
6,Speech activity factor (%),88.9370,8.8646,83.9867,6.5412,-4.9502
7,Speech activity factor (%),87.2279,7.3579,85.3427,5.9701,-1.8852
8,Speech activity factor (%),89.8404,7.8910,86.1021,4.7270,-3.7383
9,Speech activity factor (%),88.1703,8.5782,79.3375,5.3215,-8.8328
1,Recording duration (s),15.1375,3.2415,14.7834,3.1413,-0.3541
2,Recording duration (s),14.6863,3.0848,15.2693,3.4776,0.5830
3,Recording duration (s),14.4078,3.0732,14.0485,3.2106,-0.3593
4,Recording duration (s),14.0749,3.1552,14.5963,3.3556,0.5214
5,Recording duration (s),14.2338,3.0607,15.5557,2.1124,1.3219
6,Recording duration (s),12.9808,2.7990,14.1037,3.2104,1.1229
7,Recording duration (s),12.9333,2.8796,14.4685,3.5269,1.5352
8,Recording duration (s),13.2096,2.9242,16.4560,2.3685,3.2464
9,Recording duration (s),13.7891,3.1114,9.7054,1.3077,-4.0836
